title,ingredients,ingredient_measurements,instructions,diet_type,difficulty,cooking_time
coconut rice,"rice,coconut,green chilli,ginger,curry leaves,mustard seeds,urad dal,coconut oil,salt,water","[{""ingredient"":""rice"",""measurement"":""2 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""coconut"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""green chilli"",""measurement"":""2 number"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""ginger"",""measurement"":""1 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""curry leaves"",""measurement"":""1 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""mustard seeds"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""urad dal"",""measurement"":""1 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""coconut oil"",""measurement"":""3 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""salt"",""measurement"":""2 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""water"",""measurement"":""5 cup"",""quantity"":"""",""unit"":"""",""note"":""""}]","Step 1: Wash 2 cup rice thoroughly in water 3 times.Boil 5 cup water on high flame for 5 minutes.Add rice and 1 tsp salt,then cook on medium flame for 12 minutes until rice becomes soft and separate.Drain excess water and cool for 10 minutes.Step 2: Heat 3 tbsp coconut oil in a pan on medium flame for 2 minutes.Add 1 tsp mustard seeds and cook for 30 seconds until crackling.Step 3: Add 1 tbsp urad dal and saute for 2 minutes until light golden.Step 4: Add 2 green chilli,1 tbsp ginger,and 1 tbsp curry leaves.Saute for 1 minute until aromatic.Step 5: Add 1 cup coconut and roast on low flame for 3 minutes until coconut becomes hot and fragrant without browning.Step 6: Add cooked rice and remaining salt.Mix gently on low flame for 3 minutes until evenly combined.Step 7: Rest for 5 minutes before serving.",veg,easy,30
mutton stew,"mutton,potato,onion,green chilli,ginger,curry leaves,coconut milk,coconut oil,black pepper,salt,water","[{""ingredient"":""mutton"",""measurement"":""750 g"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""potato"",""measurement"":""2 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""onion"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""green chilli"",""measurement"":""3 number"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""ginger"",""measurement"":""1 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""curry leaves"",""measurement"":""1 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""coconut milk"",""measurement"":""3 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""coconut oil"",""measurement"":""2 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""black pepper"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""salt"",""measurement"":""2 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""water"",""measurement"":""4 cup"",""quantity"":"""",""unit"":"""",""note"":""""}]","Step 1: Wash 750 g mutton thoroughly and cut into medium pieces.Add mutton into a pressure cooker with 2 cup water and 1 tsp salt.Pressure cook on high flame for 1 whistle and then on low flame for 20 minutes until tender.Step 2: Wash and peel 2 cup potato,then cut into medium cubes.Step 3: Heat 2 tbsp coconut oil in a deep pan on medium flame for 2 minutes.Add 1 cup onion,3 green chilli,1 tbsp ginger,and 1 tbsp curry leaves.Saute for 5 minutes until onions soften.Step 4: Add potato and cooked mutton with cooking liquid.Cook covered on medium flame for 15 minutes until potato becomes soft.Step 5: Add 1 tsp black pepper and remaining salt.Mix thoroughly.Step 6: Add 2 cup coconut milk and simmer on low flame for 5 minutes until slightly thickened.Step 7: Add remaining coconut milk and cook on very low flame for 2 minutes without boiling heavily.Step 8: Rest for 5 minutes before serving hot.",non_veg,medium,50
paneer fried rice,"basmati rice,paneer,onion,carrot,beans,spring onion,garlic,soy sauce,black pepper,oil,salt,water","[{""ingredient"":""basmati rice"",""measurement"":""2 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""paneer"",""measurement"":""300 g"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""onion"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""carrot"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""beans"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""spring onion"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""garlic"",""measurement"":""1 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""soy sauce"",""measurement"":""2 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""black pepper"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""oil"",""measurement"":""4 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""salt"",""measurement"":""2 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""water"",""measurement"":""5 cup"",""quantity"":"""",""unit"":"""",""note"":""""}]","Step 1: Wash 2 cup basmati rice in water 3 times.Boil 5 cup water on high flame for 5 minutes.Add rice and 1 tsp salt,then cook on medium flame for 8 minutes until rice becomes separate.Drain and cool for 15 minutes.Step 2: Cut 300 g paneer into small cubes.Heat 1 tbsp oil in a pan on medium flame for 2 minutes and fry paneer for 3 minutes until light golden.Remove carefully.Step 3: Heat remaining oil in a wok on high flame for 2 minutes.Add 1 tbsp garlic and 1 cup onion.Stir fry for 2 minutes until aromatic.Step 4: Add 1 cup carrot and 1 cup beans.Stir fry on high flame for 5 minutes until slightly soft.Step 5: Add cooked rice,fried paneer,2 tbsp soy sauce,1 tsp black pepper,and remaining salt.Toss continuously on high flame for 4 minutes until evenly mixed.Step 6: Add 1 cup spring onion and stir fry for 1 minute before serving hot.",veg,easy,35
duck roast,"duck,onion,tomato,green chilli,ginger,garlic,curry leaves,coconut oil,chilli powder,coriander powder,turmeric powder,black pepper,garam masala,salt,water","[{""ingredient"":""duck"",""measurement"":""1 kg"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""onion"",""measurement"":""2 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""tomato"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""green chilli"",""measurement"":""3 number"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""ginger"",""measurement"":""2 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""garlic"",""measurement"":""2 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""curry leaves"",""measurement"":""2 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""coconut oil"",""measurement"":""4 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""chilli powder"",""measurement"":""2 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""coriander powder"",""measurement"":""2 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""turmeric powder"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""black pepper"",""measurement"":""2 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""garam masala"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""salt"",""measurement"":""3 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""water"",""measurement"":""3 cup"",""quantity"":"""",""unit"":"""",""note"":""""}]","Step 1: Wash 1 kg duck thoroughly and cut into medium pieces.Add duck into a pressure cooker with 1 tbsp ginger,1 tbsp garlic,1 tsp chilli powder,1 tsp coriander powder,1/2 tsp turmeric powder,1 tsp salt,and 2 cup water.Pressure cook on high flame for 1 whistle and then on low flame for 25 minutes until tender.Step 2: Heat 4 tbsp coconut oil in a heavy pan on medium flame for 2 minutes.Add 2 cup onion,3 green chilli,remaining ginger,remaining garlic,and 2 tbsp curry leaves.Saute for 10 minutes until deep golden brown.Step 3: Add 1 cup tomato and cook on medium flame for 5 minutes until soft and oil separates.Step 4: Add remaining chilli powder,coriander powder,turmeric powder,black pepper,garam masala,and remaining salt.Roast on low flame for 2 minutes until aromatic.Step 5: Add cooked duck with 1/2 cup cooking liquid and cook uncovered on medium flame for 15 minutes until masala thickens and coats the duck completely.Step 6: Rest for 5 minutes before serving hot.",non_veg,medium,70
veg pizza,"maida,yeast,sugar,salt,oil,water,onion,capsicum,tomato,pizza sauce,mozzarella cheese","[{""ingredient"":""maida"",""measurement"":""3 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""yeast"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""sugar"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""salt"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""oil"",""measurement"":""3 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""water"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""onion"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""capsicum"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""tomato"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""pizza sauce"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""mozzarella cheese"",""measurement"":""2 cup"",""quantity"":"""",""unit"":"""",""note"":""""}]","Step 1: Mix 3 cup maida,1 tsp yeast,1 tsp sugar,and 1 tsp salt in a large bowl.Add 2 tbsp oil and 1 cup lukewarm water slowly.Knead for 10 minutes until smooth dough forms.Cover and rest for 1 hour until doubled in size.Step 2: Slice 1 cup onion,1 cup capsicum,and 1 cup tomato evenly.Preheat oven on medium heat for 10 minutes.Step 3: Punch down the dough gently and roll into a thick round pizza base.Place on a greased baking tray.Step 4: Spread 1 cup pizza sauce evenly over the base.Leave 1 cm border around edges.Step 5: Arrange onion,capsicum,and tomato evenly over the sauce.Sprinkle 2 cup mozzarella cheese completely over toppings.Step 6: Bake for 20 minutes until cheese melts fully and edges become golden brown.Step 7: Rest for 3 minutes before slicing and serving hot.",veg,medium,80
egg curry,"egg,onion,tomato,green chilli,ginger,garlic,curry leaves,coconut oil,coconut milk,chilli powder,coriander powder,turmeric powder,garam masala,salt,water","[{""ingredient"":""egg"",""measurement"":""6 number"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""onion"",""measurement"":""2 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""tomato"",""measurement"":""2 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""green chilli"",""measurement"":""2 number"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""ginger"",""measurement"":""1 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""garlic"",""measurement"":""1 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""curry leaves"",""measurement"":""1 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""coconut oil"",""measurement"":""3 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""coconut milk"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""chilli powder"",""measurement"":""2 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""coriander powder"",""measurement"":""1 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""turmeric powder"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""garam masala"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""salt"",""measurement"":""2 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""water"",""measurement"":""2 cup"",""quantity"":"""",""unit"":"""",""note"":""""}]","Step 1: Boil 6 number egg in enough water for 12 minutes until fully cooked,then cool,peel,and keep aside. Step 2: Heat 3 tbsp coconut oil in a pan on medium flame for 2 minutes. Add 2 cup onion,2 green chilli,1 tbsp ginger,1 tbsp garlic,and 1 tbsp curry leaves. Saute for 8 minutes until the onion turns golden. Step 3: Add 2 cup tomato,2 tsp chilli powder,1 tbsp coriander powder,1 tsp turmeric powder,1 tsp garam masala,and 2 tsp salt. Cook for 6 minutes until the tomato softens and the masala thickens. Step 4: Add 2 cup water and simmer for 8 minutes. Add 1 cup coconut milk and cook on low flame for 3 minutes without boiling hard. Step 5: Add the boiled eggs,coat them gently with the curry,and rest for 5 minutes before serving.",non_veg,easy,40
veg momos,"maida,cabbage,carrot,onion,garlic,green chilli,soy sauce,oil,salt,water","[{""ingredient"":""maida"",""measurement"":""3 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""cabbage"",""measurement"":""2 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""carrot"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""onion"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""garlic"",""measurement"":""1 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""green chilli"",""measurement"":""2 number"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""soy sauce"",""measurement"":""1 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""oil"",""measurement"":""2 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""salt"",""measurement"":""2 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""water"",""measurement"":""2 cup"",""quantity"":"""",""unit"":"""",""note"":""""}]","Step 1: Mix 3 cup maida,1 tsp salt,and 1 cup water.Knead for 8 minutes until smooth dough forms.Cover and rest for 30 minutes.Step 2: Heat 1 tbsp oil in a pan on medium flame for 2 minutes.Add 1 tbsp garlic and 2 green chilli.Saute for 1 minute until aromatic.Step 3: Add 2 cup cabbage,1 cup carrot,and 1 cup onion.Stir fry on high flame for 5 minutes until slightly soft.Step 4: Add 1 tbsp soy sauce and remaining salt.Mix thoroughly and cook for 1 minute.Cool the filling for 10 minutes.Step 5: Divide the dough into small balls and roll into thin circles.Place 1 tbsp filling in the center of each circle.Fold and seal tightly.Step 6: Heat 3 cup water in a steamer on high flame for 5 minutes until steam forms.Arrange momos on greased plates and steam on medium flame for 12 minutes until shiny and cooked.Step 7: Rest for 2 minutes before serving hot.",veg,medium,45
pepper chicken,"chicken,onion,green chilli,ginger,garlic,curry leaves,coconut oil,black pepper,fennel powder,turmeric powder,salt,water","[{""ingredient"":""chicken"",""measurement"":""1 kg"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""onion"",""measurement"":""2 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""green chilli"",""measurement"":""3 number"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""ginger"",""measurement"":""2 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""garlic"",""measurement"":""2 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""curry leaves"",""measurement"":""2 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""coconut oil"",""measurement"":""4 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""black pepper"",""measurement"":""2 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""fennel powder"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""turmeric powder"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""salt"",""measurement"":""2 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""water"",""measurement"":""2 cup"",""quantity"":"""",""unit"":"""",""note"":""""}]","Step 1: Wash 1 kg chicken thoroughly and cut into medium pieces.Add chicken into a bowl with 1 tbsp black pepper,1/2 tsp turmeric powder,and 1 tsp salt.Mix thoroughly and rest for 20 minutes.Step 2: Heat 4 tbsp coconut oil in a heavy pan on medium flame for 2 minutes.Add 2 cup onion,3 green chilli,2 tbsp ginger,2 tbsp garlic,and 2 tbsp curry leaves.Saute for 10 minutes until onions turn deep golden brown.Step 3: Add remaining turmeric powder,fennel powder,and remaining black pepper.Roast on low flame for 2 minutes until aromatic.Step 4: Add marinated chicken and cook on high flame for 8 minutes while stirring until chicken changes color and releases moisture.Step 5: Add 2 cup water and remaining salt.Cover and cook on medium flame for 20 minutes until chicken becomes tender and gravy thickens.Step 6: Cook uncovered on medium flame for 5 minutes until masala coats the chicken completely and oil separates.Step 7: Rest for 3 minutes before serving hot.",non_veg,easy,45
jeera rice,"basmati rice,ghee,cumin seeds,bay leaf,salt,water","[{""ingredient"":""basmati rice"",""measurement"":""2 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""ghee"",""measurement"":""2 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""cumin seeds"",""measurement"":""2 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""bay leaf"",""measurement"":""1 number"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""salt"",""measurement"":""2 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""water"",""measurement"":""4 cup"",""quantity"":"""",""unit"":"""",""note"":""""}]",Step 1: Wash 2 cup basmati rice in water 3 times and soak in 3 cup water for 20 minutes.Drain completely.Step 2: Heat 2 tbsp ghee in a heavy pot on medium flame for 2 minutes.Add 2 tsp cumin seeds and 1 number bay leaf.Saute for 30 seconds until aromatic and cumin crackles.Step 3: Add drained rice and stir gently on medium flame for 2 minutes until coated with ghee.Step 4: Add 4 cup hot water and 2 tsp salt.Bring to boil on high flame for 5 minutes.Step 5: Cover the pot and cook on low flame for 15 minutes until rice becomes soft and water fully absorbs.Step 6: Turn off flame and rest for 10 minutes before fluffing gently and serving.,veg,easy,30
fish fry,"seer fish,ginger,garlic,chilli powder,turmeric powder,black pepper,lemon juice,coconut oil,salt","[{""ingredient"":""seer fish"",""measurement"":""500 g"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""ginger"",""measurement"":""1 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""garlic"",""measurement"":""1 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""chilli powder"",""measurement"":""2 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""turmeric powder"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""black pepper"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""lemon juice"",""measurement"":""2 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""coconut oil"",""measurement"":""4 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""salt"",""measurement"":""2 tsp"",""quantity"":"""",""unit"":"""",""note"":""""}]","Step 1: Wash 500 g seer fish thoroughly and make shallow cuts on both sides using a knife.Drain completely.Step 2: Grind 1 tbsp ginger and 1 tbsp garlic into a coarse paste using 1 tbsp water.Step 3: Mix ginger garlic paste,2 tsp chilli powder,1 tsp turmeric powder,1 tsp black pepper,2 tbsp lemon juice,and 2 tsp salt into a thick marinade.Apply evenly over the fish pieces and rub into the cuts.Rest for 30 minutes.Step 4: Heat 4 tbsp coconut oil in a flat pan on medium flame for 3 minutes.Place the marinated fish carefully into the pan.Step 5: Cook for 5 minutes on one side until edges become crisp and dark golden.Turn carefully and cook another 5 minutes until fully cooked and aromatic.Step 6: Remove from pan and rest for 2 minutes before serving hot.",non_veg,easy,30
veg kurma,"carrot,beans,potato,green peas,onion,tomato,green chilli,ginger,garlic,coconut milk,coriander powder,garam masala,oil,salt,water","[{""ingredient"":""carrot"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""beans"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""potato"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""green peas"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""onion"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""tomato"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""green chilli"",""measurement"":""2 number"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""ginger"",""measurement"":""1 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""garlic"",""measurement"":""1 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""coconut milk"",""measurement"":""2 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""coriander powder"",""measurement"":""1 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""garam masala"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""oil"",""measurement"":""3 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""salt"",""measurement"":""2 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""water"",""measurement"":""3 cup"",""quantity"":"""",""unit"":"""",""note"":""""}]","Step 1: Wash and peel 1 cup carrot and 1 cup potato,then cut into medium cubes.Wash 1 cup beans and chop evenly.Step 2: Heat 3 tbsp oil in a deep pan on medium flame for 2 minutes.Add 1 cup onion,2 green chilli,1 tbsp ginger,and 1 tbsp garlic.Saute for 5 minutes until onions soften.Step 3: Add 1 cup tomato and cook on medium flame for 5 minutes until soft and oil separates.Step 4: Add carrot,beans,potato,and 1 cup green peas.Mix thoroughly for 2 minutes.Step 5: Add 1 tbsp coriander powder,1 tsp garam masala,and 2 tsp salt.Roast on low flame for 1 minute until aromatic.Step 6: Add 3 cup water and cook covered on medium flame for 15 minutes until vegetables become soft.Step 7: Add 2 cup coconut milk and simmer on low flame for 5 minutes until gravy thickens slightly.Step 8: Rest for 3 minutes before serving hot.",veg,easy,40
chicken fried rice,"basmati rice,chicken,onion,carrot,beans,spring onion,garlic,soy sauce,black pepper,oil,salt,water","[{""ingredient"":""basmati rice"",""measurement"":""2 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""chicken"",""measurement"":""300 g"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""onion"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""carrot"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""beans"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""spring onion"",""measurement"":""1 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""garlic"",""measurement"":""1 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""soy sauce"",""measurement"":""2 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""black pepper"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""oil"",""measurement"":""4 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""salt"",""measurement"":""2 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""water"",""measurement"":""5 cup"",""quantity"":"""",""unit"":"""",""note"":""""}]","Step 1: Wash 2 cup basmati rice in water 3 times.Boil 5 cup water on high flame for 5 minutes.Add rice and 1 tsp salt,then cook on medium flame for 8 minutes until rice becomes separate.Drain and cool for 15 minutes.Step 2: Wash 300 g chicken thoroughly and cut into very small cubes.Heat 1 tbsp oil in a pan on medium flame for 2 minutes.Add chicken and cook for 6 minutes until fully cooked and lightly browned.Remove and keep aside.Step 3: Heat remaining oil in a wok on high flame for 2 minutes.Add 1 tbsp garlic and 1 cup onion.Stir fry for 2 minutes until aromatic.Step 4: Add 1 cup carrot and 1 cup beans.Stir fry on high flame for 5 minutes until slightly soft.Step 5: Add cooked chicken,cooked rice,2 tbsp soy sauce,1 tsp black pepper,and remaining salt.Toss continuously on high flame for 4 minutes until evenly mixed.Step 6: Add 1 cup spring onion and stir fry for 1 minute before serving hot.",non_veg,easy,35
banana fry,"banana,chilli powder,turmeric powder,rice flour,coconut oil,salt","[{""ingredient"":""banana"",""measurement"":""4 number"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""chilli powder"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""turmeric powder"",""measurement"":""1/2 tsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""rice flour"",""measurement"":""1/2 cup"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""coconut oil"",""measurement"":""4 tbsp"",""quantity"":"""",""unit"":"""",""note"":""""},{""ingredient"":""salt"",""measurement"":""1 tsp"",""quantity"":"""",""unit"":"""",""note"":""""}]","Step 1: Wash 4 number raw banana thoroughly.Peel the skin and slice into thin round pieces using a knife.Step 2: Add banana slices into a bowl with 1 tsp chilli powder,1/2 tsp turmeric powder,and 1 tsp salt.Mix thoroughly until evenly coated.Step 3: Sprinkle 1/2 cup rice flour over the banana slices and toss gently for 2 minutes until lightly coated.Step 4: Heat 4 tbsp coconut oil in a flat pan on medium flame for 3 minutes.Place banana slices in a single layer.Step 5: Fry for 4 minutes on one side until edges become crisp and golden brown.Turn carefully and fry another 4 minutes until evenly crisp.Step 6: Remove and drain excess oil for 2 minutes before serving hot.",veg,easy,20
